CUST_ID;GENDER;MARITAL_STATUS;AGE;AVG_BALANCE;NUM_TRANS;PURCHASES_AMOUNT;ACCESSORIES;APPLIANCES;CULTURE;GAS;BOOKS;APPAREL;FITNESS;EDUCATION;ENTERTAINMENT;FOOD;HEALTH;HOME_GARDEN;TELCOS;TRAVEL
C10005;Male;Single;29;284.29;12;968.34;0;189.99;0;628.36;0;0;0;0;0;29.83;58.27;61.88;0;0
C10015;Female;Single;20;2919.31;1;1190.71;0;0;0;1190.71;0;0;0;0;0;0;0;0;0;0
C10023;Female;Single;28;593.58;61;5872.01;339.27;0;0;0;0;208.63;0;0;0;500.37;2882.19;88.71;546.78;1306.04
C10034;Male;Single;45;10011.48;57;4783.76;304.95;621.59;0;0;90.41;919.19;0;0;0;969.21;188.24;192.4;494.09;1003.67
C10045;Male;Single;35;96.36;26;3721.82;865.47;0;0;234.26;322.68;412.53;0;0;389.71;0;0;70.64;0;1426.53
C10046;Female;Single;37;4806.46;7;2791.03;320.95;0;0;174.39;0;916.71;0;0;0;898.51;0;480.47;0;0
C10059;Female;Single;26;1772.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10068;Male;Single;40;148.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10081;Female;Single;30;1872.62;43;5351.09;2723.91;0;0;0;33.11;1660.68;0;0;81.96;639;61.67;0;0;150.77
C10085;Male;Single;24;691.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10086;Female;Single;24;313.14;86;2927.3;239.44;47.9;0;0;0;318.54;27.42;0;0;477.81;1129.44;0;686.74;0
C10090;Female;Single;27;11900.46;172;6683.56;651.88;194.29;54.8;0;69;1604.69;0;0;0;2587.23;0;412.06;95.2;1014.41
C10091;Female;Single;33;4181.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10092;Male;Single;33;788.26;26;2930.52;690.28;352.28;0;0;0;1887.96;0;0;0;0;0;0;0;0
C10098;Male;Single;28;9285.38;24;102.04;0;0;0;39.1;0;62.94;0;0;0;0;0;0;0;0
C10100;Female;Single;31;6832.25;28;7962.24;0;3855.67;0;0;0;1879.36;0;0;0;2227.21;0;0;0;0
C10103;Male;Single;29;1220.79;63;1178;0;148.48;0;125.88;0;336.1;0;0;0;24.62;0;63.97;478.96;0
